,job_idx,task_idx,ticket_id,parents,station_num,station_type,location,start,end,duration,time_left
0,0,0,2,[],0,0,Loading Area,1682815316.3102522,1682815321.3173153,,
1,0,1,5,[2],3,2,RF,1682815325.8224728,1682815350.850064,,
2,0,2,1,[],0,0,Loading Area,1682815326.3306396,1682815336.3411756,,
3,0,3,3,[],0,0,Loading Area,1682815332.827234,1682815339.8352363,,
4,0,4,6,[3],4,3,Perimeter,1682815347.3466365,1682815375.3583956,,
5,0,5,4,[1],3,2,RF,1682815372.376313,1682815427.4012341,,
6,0,6,7,"[4, 5]",3,2,RF,1682815427.9276736,1682815502.9911287,,
7,0,7,8,"[6, 7]",3,2,RF,1682815563.5424666,1682815593.5739655,,
8,0,8,9,[8],4,3,Perimeter,1682815684.1279922,1682815732.1778934,,
9,0,9,10,[9],7,4,Inspection,1682815732.6992292,1682815792.7356315,,
