,Path0,Path1,Path2,Path3,Occupied0,Occupied1,Occupied2,Occupied3
0,1,1,1,1,,,,
1,8,7,7,8,,False,False,
2,1,7,7,1,,True,True,
3,1,7,7,8,,True,True,
4,8,7,7,1,,True,True,
5,1,7,7,6,,True,True,
6,1,7,7,6,,True,True,
7,1,7,7,6,,True,True,
8,8,7,7,6,,True,True,
9,6,7,7,6,False,True,True,
10,6,7,7,6,True,True,True,
11,6,1,1,6,True,False,False,
12,6,1,1,6,True,,,
13,6,1,1,6,True,,,
14,6,1,1,6,True,,,
15,6,6,6,6,True,,False,False
16,6,6,6,6,True,,True,True
17,6,6,6,6,True,,True,True
18,6,6,6,6,True,,True,True
19,1,6,6,6,False,,True,True
20,1,6,6,6,,,True,True
21,1,6,6,6,,,True,True
22,1,6,6,6,,,True,True
23,1,6,6,6,,,True,True
24,1,6,6,6,,,True,True
25,1,1,1,1,,,True,True
26,1,8,8,8,,,True,True
27,1,8,8,8,,,True,True
28,1,8,8,8,,,True,True
29,1,8,8,8,,,True,True
30,3,8,8,8,False,,True,True
31,3,1,1,1,True,,False,False
32,3,6,6,6,True,False,False,False
33,3,6,6,6,True,True,True,True
34,3,6,6,6,True,True,True,True
35,3,6,6,6,True,True,True,True
36,3,6,6,6,True,True,True,True
37,3,6,6,6,True,True,True,True
38,3,6,6,6,True,True,True,True
39,3,6,6,6,True,True,True,True
40,1,6,6,6,False,True,True,True
41,1,6,6,6,,True,True,True
42,1,4,4,4,,True,True,True
43,1,4,4,4,,True,True,True
44,1,4,4,4,,True,True,True
45,1,4,4,4,,True,True,True
46,3,4,4,4,,True,True,True
47,3,4,4,4,,True,True,True
48,3,4,4,4,,True,True,True
49,3,4,4,4,,True,True,True
50,3,4,4,4,,True,True,True
51,3,4,4,4,,True,True,True
52,3,4,4,4,,True,True,True
53,3,4,4,4,,True,True,True
54,3,7,7,7,,True,True,True
55,3,7,7,7,,True,True,True
56,1,7,7,7,,True,True,True
57,4,7,7,7,,True,True,True
58,1,7,7,7,,True,True,True
59,1,1,1,1,,False,False,False
