,Path0,Path1,Path2,Path3,Path4,Path5,Occupied0,Occupied1,Occupied2,Occupied3,Occupied4,Occupied5
0,1,1,1,1,1,1,,,,,,
1,1,9,9,1,9,9,,False,False,,False,False
2,1,9,9,1,9,9,,True,True,,True,True
3,1,9,9,1,9,9,,True,True,,True,True
4,1,9,9,1,9,9,,True,True,,True,True
5,1,9,9,1,9,9,,True,True,,True,True
6,1,9,9,1,9,9,,True,True,,True,True
7,6,9,9,6,9,9,False,True,True,False,True,True
8,6,9,9,6,9,9,True,True,True,True,True,True
9,6,9,9,6,9,9,True,True,True,True,True,True
10,6,9,9,6,9,9,True,True,True,True,True,True
11,6,1,1,6,1,1,True,False,False,True,False,False
12,6,1,1,6,1,1,True,,,True,,
13,6,1,1,6,1,1,True,,,True,,
14,6,1,1,6,1,1,True,,,True,,
15,6,1,8,6,8,1,True,,,True,,
16,6,1,8,6,8,1,True,,,True,,
17,1,1,8,1,8,1,True,,,True,,
18,1,1,8,1,8,1,True,,,True,,
19,1,1,8,1,8,1,True,,,True,,
20,1,6,6,1,6,1,True,False,False,True,False,
21,1,6,6,1,6,1,True,True,True,True,True,
22,1,6,6,1,6,1,True,True,True,True,True,
23,1,6,6,1,6,1,True,True,True,True,True,
24,1,6,6,1,6,1,True,True,True,True,True,
25,1,6,6,1,6,1,True,True,True,True,True,
26,8,6,6,8,6,1,True,True,True,True,True,
27,8,6,6,8,6,1,True,True,True,True,True,
28,8,6,6,8,6,1,True,True,True,True,True,
29,8,6,6,8,6,1,True,True,True,True,True,
30,8,1,4,8,1,1,True,True,True,True,True,
31,1,4,4,1,4,1,False,True,True,False,True,
32,3,4,4,1,4,3,,True,True,,True,
33,3,4,4,3,4,3,,True,True,False,True,
34,3,4,4,3,4,3,,True,True,True,True,
35,3,4,4,3,4,3,,True,True,True,True,
36,3,4,4,3,4,3,,True,True,True,True,
37,3,4,4,3,4,3,,True,True,True,True,
38,3,4,4,3,4,3,,True,True,True,True,
39,3,4,4,3,4,3,,True,True,True,True,
40,3,4,4,3,4,3,,True,True,True,True,
41,3,4,4,3,4,3,,True,True,True,True,
42,1,4,4,3,4,1,,True,True,True,True,
43,1,4,4,1,4,1,,True,True,False,True,
44,1,4,4,1,4,1,,True,True,,True,
45,1,4,4,7,4,7,,True,True,False,True,False
46,1,4,4,7,4,7,,True,True,True,True,True
47,1,4,4,7,4,7,,True,True,True,True,True
48,1,4,4,7,4,7,,True,True,True,True,True
49,1,4,4,7,4,7,,True,True,True,True,True
50,1,4,4,7,4,7,,True,True,True,True,True
51,1,4,4,7,4,7,,True,True,True,True,True
52,1,4,4,7,4,7,,True,True,True,True,True
53,1,1,1,7,1,7,,True,True,True,True,True
54,1,9,9,7,9,7,,True,True,True,True,True
55,1,9,9,1,9,1,,True,True,False,True,False
56,1,9,9,1,9,1,,True,True,,True,
57,1,9,9,1,9,1,,True,True,,True,
58,1,9,9,1,9,1,,True,True,,True,
59,1,1,1,1,1,1,,False,False,,False,
