,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Location 9,Location 10,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6,Occupied 7,Occupied 8,Occupied 9,Occupied 10
0,Base,Base,Base,Base,Base,Base,Base,Base,Base,Base,,,,,,,,,,
1,Grommet,Base,Base,Grommet,Grommet,Grommet,Grommet,Base,Grommet,Grommet,,,,,,,,,,
2,Grommet,Cutter,Base,Base,Grommet,Base,Base,Base,Cutter,Cutter,,False,,,,,,,False,False
3,RF_Welder,RF_Welder,Base,RF_Welder,RF_Welder,Sewing_Machine_,Base,Base,RF_Welder,Base,,True,,,,,,,True,True
4,RF_Welder,Mega_Stitch,Base,Sewing_Machine_,RF_Welder,Base,RF_Welder,Base,Mega_Stitch,Mega_Stitch,,True,,,,,,,True,True
5,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Grommet,RF_Welder,Sewing_Machine_,Mega_Stitch,Mega_Stitch,,True,,,,,,,True,True
6,Grommet,Mega_Stitch,Sewing_Machine_,Grommet,Sewing_Machine_,Grommet,Base,RF_Welder,Mega_Stitch,Mega_Stitch,,True,,,,,,,True,True
7,Sewing_Machine_,Mega_Stitch,Cutter,Base,Sewing_Machine_,Base,RF_Welder,Cutter,Mega_Stitch,Mega_Stitch,,True,False,,,,,False,True,True
8,Sewing_Machine_,Mega_Stitch,Base,Base,Sewing_Machine_,Base,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
9,Long_Arm,Mega_Stitch,RF_Welder,Long_Arm,Sewing_Machine_,Long_Arm,Base,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
10,Long_Arm,Mega_Stitch,RF_Welder,Sewing_Machine_,Long_Arm,Base,Base,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
11,Long_Arm,Mega_Stitch,RF_Welder,Sewing_Machine_,Long_Arm,Sewing_Machine_,Base,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
12,Long_Arm,Mega_Stitch,RF_Welder,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Base,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
13,Long_Arm,Mega_Stitch,RF_Welder,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Long_Arm,RF_Welder,Mega_Stitch,Mega_Stitch,,True,True,,,,,True,True,True
14,Base,Base,RF_Welder,Mega_Stitch,Base,Mega_Stitch,Base,RF_Welder,Base,Base,,False,True,,,,,True,False,False
15,Mega_Stitch,Mega_Stitch,RF_Welder,Long_Arm,Long_Arm,Sewing_Machine_,Base,RF_Welder,Mega_Stitch,Base,False,False,True,,,,,True,False,
16,Long_Arm,Base,RF_Welder,Sewing_Machine_,Base,Sewing_Machine_,Base,RF_Welder,Base,Base,True,True,True,,,,,True,True,
17,Long_Arm,Long_Arm,RF_Welder,Long_Arm,Long_Arm,Sewing_Machine_,Long_Arm,RF_Welder,Long_Arm,Long_Arm,True,True,True,,,,,True,True,
18,Long_Arm,Long_Arm,RF_Welder,Long_Arm,Long_Arm,Mega_Stitch,Long_Arm,RF_Welder,Long_Arm,Long_Arm,True,True,True,,,,,True,True,
19,Long_Arm,Long_Arm,RF_Welder,Grommet,Base,Mega_Stitch,Base,RF_Welder,Long_Arm,Base,True,True,True,,,,,True,True,
20,Long_Arm,Long_Arm,RF_Welder,Mega_Stitch,Base,Mega_Stitch,Base,RF_Welder,Long_Arm,Base,True,True,True,,,,,True,True,
21,Long_Arm,Long_Arm,RF_Welder,Mega_Stitch,Grommet,Mega_Stitch,Base,RF_Welder,Long_Arm,Base,True,True,True,,,,,True,True,
22,Long_Arm,Long_Arm,RF_Welder,Mega_Stitch,Base,Base,Base,RF_Welder,Long_Arm,Base,True,True,True,,,,,True,True,
23,Long_Arm,Long_Arm,RF_Welder,Mega_Stitch,Base,Base,Base,RF_Welder,Long_Arm,Base,True,True,True,,,,,True,True,
24,Long_Arm,Long_Arm,Base,RF_Welder,Base,Base,Base,Base,Long_Arm,Base,True,True,False,,,,,False,True,
25,Long_Arm,Long_Arm,Base,Mega_Stitch,Base,Base,Mega_Stitch,Base,Long_Arm,Base,True,True,,,,,,,True,
26,Long_Arm,Long_Arm,RF_Welder,Base,Base,RF_Welder,Base,Base,Long_Arm,Base,True,True,False,,,False,,,True,
27,Long_Arm,Long_Arm,Base,Sewing_Machine_,Base,Base,Sewing_Machine_,Base,Long_Arm,Base,True,True,True,,,True,,,True,
28,Long_Arm,Long_Arm,Base,Sewing_Machine_,Base,Base,Sewing_Machine_,Base,Long_Arm,Base,True,True,True,,,True,,,True,
29,Long_Arm,Long_Arm,Mega_Stitch,RF_Welder,Base,Mega_Stitch,Base,Base,Long_Arm,Base,True,True,True,,,True,,,True,
30,Long_Arm,Long_Arm,Mega_Stitch,Base,Base,Mega_Stitch,Base,Base,Long_Arm,Base,True,True,True,,,True,,,True,
31,Long_Arm,Long_Arm,Mega_Stitch,Sewing_Machine_,Grommet,Mega_Stitch,Base,Base,Long_Arm,Base,True,True,True,,,True,,,True,
32,Base,Base,Mega_Stitch,Base,Base,Mega_Stitch,Base,Base,Base,Base,False,False,True,,,True,,,False,
33,Base,Base,Mega_Stitch,Base,Base,Mega_Stitch,Base,Base,Base,Base,,,True,,,True,,,,
34,Base,Base,Mega_Stitch,Base,Base,Mega_Stitch,Base,Base,Base,Base,,,True,,,True,,,,
35,Long_Arm,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Long_Arm,Sewing_Machine_,Long_Arm,False,,True,,,True,,False,,False
