,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6
0,Base,Base,Base,Base,Base,Base,,,,,,
1,Base,Base,Grommet,Grommet,Grommet,Grommet,,,,,,
2,Base,Base,Cutter,Cutter,Base,Cutter,,,False,False,,False
3,RF_Welder,Base,Base,Base,Base,Base,,,True,True,,True
4,Base,Base,Mega_Stitch,Mega_Stitch,RF_Welder,Mega_Stitch,,,True,True,,True
5,Sewing_Machine_,Base,Mega_Stitch,Mega_Stitch,Sewing_Machine_,Mega_Stitch,,,True,True,,True
6,Base,Grommet,Mega_Stitch,Mega_Stitch,Sewing_Machine_,Mega_Stitch,,,True,True,,True
7,Cutter,Cutter,Mega_Stitch,Mega_Stitch,Base,Mega_Stitch,False,False,True,True,,True
8,Base,Base,Mega_Stitch,Mega_Stitch,Sewing_Machine_,Mega_Stitch,True,True,True,True,,True
9,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Long_Arm,Mega_Stitch,True,True,True,True,,True
10,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Base,Mega_Stitch,True,True,True,True,,True
11,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Sewing_Machine_,Mega_Stitch,True,True,True,True,,True
12,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Sewing_Machine_,Mega_Stitch,True,True,True,True,,True
13,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Base,Mega_Stitch,True,True,True,True,,True
14,RF_Welder,RF_Welder,Base,Base,Base,Base,True,True,False,False,,False
15,RF_Welder,RF_Welder,Base,Base,Base,Base,True,True,,,,
16,RF_Welder,RF_Welder,Mega_Stitch,Mega_Stitch,Base,Mega_Stitch,True,True,False,False,,False
17,RF_Welder,RF_Welder,Base,Base,Base,Base,True,True,True,True,,True
18,RF_Welder,RF_Welder,Base,Base,Base,Grommet,True,True,True,True,,True
19,RF_Welder,RF_Welder,Long_Arm,Long_Arm,Base,Long_Arm,True,True,True,True,,True
20,RF_Welder,RF_Welder,Long_Arm,Long_Arm,Base,Long_Arm,True,True,True,True,,True
21,RF_Welder,RF_Welder,Long_Arm,Long_Arm,Base,Long_Arm,True,True,True,True,,True
22,RF_Welder,RF_Welder,Long_Arm,Long_Arm,Base,Long_Arm,True,True,True,True,,True
23,RF_Welder,RF_Welder,Long_Arm,Long_Arm,Base,Long_Arm,True,True,True,True,,True
24,Base,Base,Long_Arm,Long_Arm,Base,Long_Arm,False,False,True,True,,True
25,Base,RF_Welder,Long_Arm,Long_Arm,RF_Welder,Long_Arm,,False,True,True,False,True
