,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6
0,Base,Base,Base,Base,Base,Base,,,,,,
1,Base,Base,Base,Base,Base,Base,,,,,,
2,Cutter,Cutter,Cutter,Cutter,Cutter,Cutter,,,,False,False,False
3,Base,Base,Base,Base,Base,Base,,,,True,True,True
4,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
5,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
6,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
7,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
8,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
9,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
10,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
11,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
12,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
13,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
14,Base,Base,Base,Base,Base,Base,,,,False,False,False
15,Base,Sewing_Machine_,Sewing_Machine_,Base,Base,Sewing_Machine_,,,,,,
16,Sewing_Machine_,Base,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,,,,,,
17,Mega_Stitch,Base,RF_Welder,Mega_Stitch,Base,Mega_Stitch,False,,,False,,False
18,RF_Welder,Base,Base,RF_Welder,RF_Welder,RF_Welder,True,,,True,,True
19,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
20,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
21,Long_Arm,Grommet,Grommet,Long_Arm,Long_Arm,Long_Arm,True,,,True,,True
22,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
23,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
24,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
25,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
26,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
27,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
28,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
29,Long_Arm,Grommet,RF_Welder,Long_Arm,Base,Long_Arm,True,,,True,,True
30,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
31,Long_Arm,Grommet,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
32,Long_Arm,Base,Grommet,Long_Arm,Base,Long_Arm,True,,,True,,True
33,Long_Arm,Base,Base,Long_Arm,Base,Long_Arm,True,,,True,,True
34,Base,Base,Base,Base,Base,Base,False,,,False,,False
35,Long_Arm,Long_Arm,Long_Arm,Base,Base,Base,False,False,False,,,
36,Base,Base,Base,Base,Base,Base,True,True,True,,,
37,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
38,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
39,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
40,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
41,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
42,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
43,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
44,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
45,Grommet,Grommet,Grommet,Base,Base,Base,True,True,True,,,
46,Grommet,Grommet,Grommet,Grommet,Grommet,Grommet,True,True,True,False,False,False
47,Base,Base,Base,Base,Base,Base,False,False,False,True,True,True
48,Base,Base,Base,Base,Base,Base,,,,True,True,True
49,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
50,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
51,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
52,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
53,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
54,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
55,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
56,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
57,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
58,Base,Base,Base,Mega_Stitch,Mega_Stitch,Mega_Stitch,,,,True,True,True
59,Base,Base,Base,Base,Base,Base,,,,False,False,False
