,Path0,Path1,Path2,Path3,Path4,Path5,Occupied0,Occupied1,Occupied2,Occupied3,Occupied4,Occupied5
0,1,1,1,1,1,1,,,,,,
1,1,1,1,1,1,1,,,,,,
2,10,10,10,10,10,10,,,,False,False,False
3,1,1,1,1,1,1,,,,True,True,True
4,6,6,6,6,6,6,,,,True,True,True
5,6,6,6,6,6,6,,,,True,True,True
6,6,6,6,6,6,6,,,,True,True,True
7,6,6,6,6,6,6,,,,True,True,True
8,6,6,6,6,6,6,,,,True,True,True
9,6,6,6,6,6,6,,,,True,True,True
10,6,6,6,6,6,6,,,,True,True,True
11,6,6,6,6,6,6,,,,True,True,True
12,6,6,6,6,6,6,,,,True,True,True
13,6,6,6,6,6,6,,,,True,True,True
14,1,1,1,1,1,1,,,,False,False,False
15,1,5,5,1,1,5,,,,,,
16,5,1,5,5,5,5,,,,,,
17,6,1,7,6,1,6,False,,,False,,False
18,7,1,1,7,7,7,True,,,True,,True
19,8,9,9,8,1,8,True,,,True,,True
20,8,9,9,8,1,8,True,,,True,,True
21,8,9,9,8,8,8,True,,,True,,True
22,8,9,9,8,1,8,True,,,True,,True
23,8,9,9,8,1,8,True,,,True,,True
24,8,9,9,8,1,8,True,,,True,,True
25,8,9,9,8,1,8,True,,,True,,True
26,8,9,9,8,1,8,True,,,True,,True
27,8,9,9,8,1,8,True,,,True,,True
28,8,9,9,8,1,8,True,,,True,,True
29,8,9,7,8,1,8,True,,,True,,True
30,8,9,9,8,1,8,True,,,True,,True
31,8,9,9,8,1,8,True,,,True,,True
32,8,1,9,8,1,8,True,,,True,,True
33,8,1,1,8,1,8,True,,,True,,True
34,1,1,1,1,1,1,False,,,False,,False
35,8,8,8,1,1,1,False,False,False,,,
36,1,1,1,1,1,1,True,True,True,,,
37,9,9,9,1,1,1,True,True,True,,,
38,9,9,9,1,1,1,True,True,True,,,
39,9,9,9,1,1,1,True,True,True,,,
40,9,9,9,1,1,1,True,True,True,,,
41,9,9,9,1,1,1,True,True,True,,,
42,9,9,9,1,1,1,True,True,True,,,
43,9,9,9,1,1,1,True,True,True,,,
44,9,9,9,1,1,1,True,True,True,,,
45,9,9,9,1,1,1,True,True,True,,,
46,9,9,9,9,9,9,True,True,True,False,False,False
47,1,1,1,1,1,1,False,False,False,True,True,True
48,1,1,1,1,1,1,,,,True,True,True
49,1,1,1,6,6,6,,,,True,True,True
50,1,1,1,6,6,6,,,,True,True,True
51,1,1,1,6,6,6,,,,True,True,True
52,1,1,1,6,6,6,,,,True,True,True
53,1,1,1,6,6,6,,,,True,True,True
54,1,1,1,6,6,6,,,,True,True,True
55,1,1,1,6,6,6,,,,True,True,True
56,1,1,1,6,6,6,,,,True,True,True
57,1,1,1,6,6,6,,,,True,True,True
58,1,1,1,6,6,6,,,,True,True,True
59,1,1,1,1,1,1,,,,False,False,False
