,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6,Occupied 7,Occupied 8
0,Base,Base,Base,Base,Base,Base,Base,Base,,,,,,,,
1,Cutter,Grommet,Grommet,Grommet,Grommet,Cutter,Grommet,Cutter,False,,,,,False,,False
2,Grommet,Grommet,Base,Base,Grommet,Base,Base,Base,True,,,,,True,,True
3,Mega_Stitch,RF_Welder,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,Base,Mega_Stitch,Base,True,,,,,True,,True
4,Mega_Stitch,RF_Welder,RF_Welder,Sewing_Machine_,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,True,,,,,True,,True
5,Mega_Stitch,RF_Welder,RF_Welder,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,True,,,,,True,,True
6,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,True,,False,,,True,,True
7,Mega_Stitch,Cutter,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,Cutter,Mega_Stitch,True,False,,,,True,False,True
8,Mega_Stitch,Sewing_Machine_,RF_Welder,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Mega_Stitch,True,True,,,,True,True,True
9,Mega_Stitch,RF_Welder,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,True,True,,,,True,True,True
10,Mega_Stitch,RF_Welder,Long_Arm,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,True,True,,,,True,True,True
11,Mega_Stitch,RF_Welder,Long_Arm,Sewing_Machine_,Long_Arm,Mega_Stitch,RF_Welder,Mega_Stitch,True,True,,,,True,True,True
12,Mega_Stitch,RF_Welder,Long_Arm,Sewing_Machine_,Long_Arm,Mega_Stitch,RF_Welder,Mega_Stitch,True,True,,,,True,True,True
13,Mega_Stitch,RF_Welder,Base,Base,Sewing_Machine_,Mega_Stitch,RF_Welder,Mega_Stitch,True,True,,,,True,True,True
14,Base,RF_Welder,Base,Base,Base,RF_Welder,RF_Welder,RF_Welder,False,True,,,,False,True,False
15,Sewing_Machine_,RF_Welder,Mega_Stitch,Sewing_Machine_,Mega_Stitch,RF_Welder,RF_Welder,RF_Welder,,True,,,,,True,
16,Base,RF_Welder,Mega_Stitch,Mega_Stitch,Mega_Stitch,RF_Welder,RF_Welder,RF_Welder,,True,False,False,False,,True,
17,Base,RF_Welder,Sewing_Machine_,Sewing_Machine_,Sewing_Machine_,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
18,Long_Arm,RF_Welder,Base,Grommet,Grommet,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
19,Grommet,RF_Welder,Long_Arm,Long_Arm,Long_Arm,RF_Welder,RF_Welder,RF_Welder,,True,True,True,True,,True,
