,Location 1,Location 2,Location 3,Location 4,Location 5,Location 6,Location 7,Location 8,Occupied 1,Occupied 2,Occupied 3,Occupied 4,Occupied 5,Occupied 6,Occupied 7,Occupied 8
0,Base,Base,Base,Base,Base,Base,Base,Base,,,,,,,,
1,Base,Base,Base,Base,Base,Base,Base,Base,,,,,,,,
2,Base,Base,Loading Area,Base,Loading Area,Base,Base,Loading Area,,,False,,False,,,False
3,Base,Base,Base,Base,Base,Base,RF_Welder,Base,,,True,,True,,,True
4,Base,RF_Welder,Mega_Stitch,Base,Mega_Stitch,Base,RF_Welder,Mega_Stitch,,,True,,True,,,True
5,Grommet,RF_Welder,Mega_Stitch,Sewing_Machine_,Mega_Stitch,Sewing_Machine_,Sewing_Machine_,Mega_Stitch,,,True,,True,,,True
6,Base,Base,Mega_Stitch,RF_Welder,Mega_Stitch,Base,Base,Mega_Stitch,,,True,,True,,,True
7,Base,Loading Area,Mega_Stitch,Loading Area,Mega_Stitch,Loading Area,Loading Area,Mega_Stitch,,False,True,False,True,False,False,True
8,Base,Base,Mega_Stitch,Base,Mega_Stitch,Base,Base,Mega_Stitch,,True,True,True,True,True,True,True
9,Long_Arm,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,True,True,True,True,True,True
10,Base,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,True,True,True,True,True,True
11,Base,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,True,True,True,True,True,True
12,Base,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,True,True,True,True,True,True
13,Base,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,True,True,True,True,True,True
14,Base,RF_Welder,Base,RF_Welder,Base,RF_Welder,RF_Welder,Base,,True,False,True,False,True,True,False
15,Long_Arm,RF_Welder,Long_Arm,RF_Welder,Base,RF_Welder,RF_Welder,Long_Arm,,True,,True,,True,True,
16,Base,RF_Welder,Mega_Stitch,RF_Welder,Mega_Stitch,RF_Welder,RF_Welder,Mega_Stitch,,True,False,True,False,True,True,False
17,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Base,,True,True,True,True,True,True,True
18,Base,RF_Welder,Long_Arm,RF_Welder,Long_Arm,RF_Welder,RF_Welder,Long_Arm,,True,True,True,True,True,True,True
