,job_id,task_idx,ticket_id,parents,machine_id,machine_type,location,start,end,duration,time_left
0,0,0,0,[],0,0,Loading Area,10,15,5,5
1,0,1,1,[],0,0,Loading Area,0,5,5,5
2,0,2,2,[0],2,1,Mega Stitch,15,35,20,20
3,0,3,3,[1],3,2,RF,5,35,30,30
4,0,4,4,"[2, 3]",6,3,Perimeter,35,85,50,50
5,0,5,5,[4],7,4,Inspection,85,125,40,40
6,1,0,6,[],0,0,Loading Area,15,20,5,5
7,1,1,7,[6],1,1,Mega Stitch,20,60,40,40
8,1,2,8,[7],4,3,Perimeter,60,110,50,50
9,1,3,9,[8],7,4,Inspection,155,195,40,40
10,2,0,10,[],0,0,Loading Area,55,60,5,5
11,2,1,11,[],0,0,Loading Area,50,55,5,5
12,2,2,12,[],0,0,Loading Area,45,50,5,5
13,2,3,13,[10],3,2,RF,145,185,40,40
14,2,4,14,[11],2,1,Mega Stitch,215,225,10,10
15,2,5,15,"[13, 12]",2,1,Mega Stitch,185,215,30,30
16,2,6,16,"[14, 15]",3,2,RF,225,265,40,40
17,2,7,17,[16],6,3,Perimeter,295,340,45,45
18,2,8,18,[17],7,4,Inspection,355,415,60,60
19,3,0,19,[],0,0,Loading Area,40,45,5,5
20,3,1,20,[],0,0,Loading Area,30,35,5,5
21,3,2,21,[19],3,2,RF,85,115,30,30
22,3,3,22,[20],6,3,Perimeter,120,150,30,30
23,3,4,23,"[21, 22]",3,2,RF,185,215,30,30
24,3,5,24,[23],6,3,Perimeter,255,295,40,40
25,3,6,25,[24],7,4,Inspection,305,355,50,50
26,4,0,26,[],0,0,Loading Area,35,40,5,5
27,4,1,27,[26],1,1,Mega Stitch,60,100,40,40
28,4,2,28,[27],3,2,RF,115,145,30,30
29,4,3,29,[28],6,3,Perimeter,195,255,60,60
30,4,4,30,[29],7,4,Inspection,255,305,50,50
31,5,0,31,[],0,0,Loading Area,5,10,5,5
32,5,1,32,[31],3,2,RF,35,65,30,30
33,5,2,33,[32],2,1,Mega Stitch,65,85,20,20
34,5,3,34,[33],6,3,Perimeter,85,120,35,35
35,5,4,35,[34],7,4,Inspection,125,155,30,30
36,6,0,36,[],0,0,Loading Area,25,30,5,5
37,6,1,37,[],0,0,Loading Area,20,25,5,5
38,6,2,38,[36],2,1,Mega Stitch,85,115,30,30
39,6,3,39,[37],3,2,RF,65,85,20,20
40,6,4,40,"[38, 39]",2,1,Mega Stitch,115,125,10,10
41,6,5,41,[40],6,3,Perimeter,150,195,45,45
42,6,6,42,[41],7,4,Inspection,195,255,60,60
